Node,Cluster
1107,1
677,2
1438,2
1486,2
1623,2
1564,2
1626,2
1497,2
1994,0
1566,0
1877,0
1909,2
102,0
1837,0
1961,2
2038,0
409,2
1880,0
1239,1
1314,0
293,0
1082,1
2044,0
1150,1
743,1
1595,2
2008,0
1472,0
1998,0
638,1
522,1
1254,0
1873,0
1170,1
690,1
486,2
2031,0
1594,2
156,1
777,2
665,2
1310,0
619,2
378,2
1815,2
100,2
1450,0
1370,0
528,2
255,0
1711,0
1454,2
1259,0
1871,0
1846,0
2000,0
1132,1
1745,0
1945,2
1952,1
2045,0
2032,0
1735,0
1437,0
466,1
1142,1
1389,0
742,2
1148,1
110,0
1384,0
936,1
1582,0
1515,2
570,1
138,2
1865,0
437,2
1853,0
2033,0
1465,0
1869,0
815,1
1630,2
1820,0
1599,0
1440,0
2018,0
1801,2
1836,0
1844,0
8,0
651,2
851,1
753,1
2028,0
1965,1
1895,0
731,1
1531,0
1224,1
2030,0
2004,0
2009,0
635,2
410,0
1712,0
1369,0
1935,1
652,1
1398,0
1423,0
714,2
1854,0
1872,0
694,1
710,2
979,1
322,1
1348,0
959,1
1262,0
1825,0
53,0
1891,0
1435,0
744,1
1749,0
678,1
1418,2
1316,0
121,2
2010,0
1780,0
61,0
756,1
333,2
1439,0
1823,0
706,2
11,0
236,0
405,1
1424,0
365,2
304,0
454,2
1131,1
2011,0
87,0
1403,2
1876,0
1284,2
1011,1
967,1
1354,0
77,0
923,1
882,1
92,0
1308,0
609,1
976,1
418,2
880,1
1636,0
1920,2
1458,0
1252,0
893,1
1493,0
794,2
1625,0
1925,1
579,1
1491,0
461,2
326,2
553,1
10,0
1736,0
776,1
1642,0
1273,0
1221,2
282,2
191,1
1548,0
1269,0
1289,0
837,1
1459,2
65,0
1731,0
605,2
261,0
1499,0
539,2
1950,1
359,0
1234,1
305,0
737,1
383,2
1258,0
581,1
302,2
1817,0
1078,1
786,1
1719,0
555,2
1449,0
1129,1
1121,1
928,1
1349,2
1329,0
1177,1
1960,1
656,2
655,2
1479,0
292,0
1401,0
535,1
842,1
1306,0
1160,1
623,2
1357,0
704,1
1038,1
1436,2
641,2
1406,0
1772,0
1956,1
1663,0
336,0
501,1
747,1
617,2
1514,0
671,2
208,1
1765,0
1181,1
187,2
1615,0
136,0
1487,0
868,1
406,1
435,2
1788,0
925,1
1094,1
1141,1
1236,1
972,1
1412,0
211,1
682,2
1990,0
1845,0
1261,0
78,0
295,2
660,1
1495,0
1812,0
1818,0
1632,0
1926,1
578,2
1260,0
433,0
1878,0
310,2
548,2
666,1
1300,0
308,1
1627,0
857,1
436,0
377,2
1464,0
334,2
47,0
1467,0
285,2
1948,2
445,2
1957,1
93,2
1367,0
2037,0
1834,0
1814,0
1339,0
1165,1
1058,1
477,1
1140,2
1979,0
1902,2
128,0
371,0
1408,2
1426,0
843,2
631,1
275,2
1211,1
2013,0
1046,1
68,0
381,0
1263,0
1109,1
911,1
252,0
1695,0
1151,1
1003,2
1560,0
490,2
1402,0
819,1
1770,0
1617,0
1634,0
1739,0
1394,0
367,0
901,1
1605,0
169,0
1829,0
1087,2
1489,0
829,1
625,2
1337,0
1973,2
719,2
500,1
1572,0
1413,0
708,1
1547,0
662,1
746,1
951,1
811,1
12,0
1200,2
1764,0
1125,1
1927,1
1077,1
1279,0
1277,0
1351,2
1430,0
278,1
1164,2
62,0
122,0
1291,0
258,0
1342,0
1692,0
2021,0
2020,0
219,0
38,0
1969,1
767,1
1307,0
299,1
1143,1
1455,2
1887,0
732,1
1924,2
759,1
178,2
129,0
1005,1
1755,0
645,1
1374,0
982,2
184,2
1029,1
1842,0
1828,0
1618,0
196,2
1222,2
327,0
376,2
1751,0
640,1
216,0
1473,0
802,1
1069,1
1740,0
595,1
1708,0
613,1
785,1
1194,1
155,1
1699,0
670,1
36,0
1443,0
1100,1
1068,2
1525,0
845,2
1496,0
1364,0
669,2
188,2
915,1
1072,1
425,2
622,1
457,2
634,2
1425,0
627,2
150,0
431,1
70,0
35,2
1800,0
606,1
1980,0
588,1
1537,2
1393,0
1483,2
1,0
1641,0
760,1
1355,0
644,1
1862,0
683,1
1910,1
204,2
430,2
267,0
1311,0
1122,1
512,2
833,2
681,1
1385,0
117,2
1371,0
1516,2
698,2
434,2
449,2
1587,0
585,1
1580,0
1533,0
51,0
515,1
858,1
385,0
667,2
1803,0
498,1
1917,1
142,0
949,1
1388,0
1593,2
1485,2
1356,0
1885,0
1771,0
1295,0
1898,0
243,2
99,2
1243,0
1383,0
344,2
321,2
1225,1
54,0
245,2
1171,1
1235,2
213,0
472,1
1727,0
1864,0
1962,2
1863,0
1964,1
1860,0
1650,0
514,1
366,2
1220,1
1508,0
597,1
940,1
793,1
1461,0
483,1
137,0
1353,2
1184,1
1193,1
1312,0
140,0
1944,2
1802,0
1330,0
234,1
56,0
1710,0
1375,0
1360,0
75,0
1674,0
419,2
847,1
1698,0
1700,0
840,1
810,1
877,1
1429,0
1758,0
713,1
251,0
1624,0
1601,0
411,2
88,2
1480,0
44,0
194,2
335,2
1191,1
1214,1
696,2
1006,1
112,2
1934,2
1304,0
1478,0
96,0
1721,0
1153,2
180,1
201,0
388,2
1055,1
1638,0
1199,2
485,1
648,2
896,2
1936,2
1103,2
1970,2
463,2
233,2
2014,0
1611,0
712,1
1940,1
1386,0
499,1
1677,0
1004,1
1716,0
230,2
740,1
1063,1
1428,0
1204,1
28,2
1616,0
441,2
1975,0
1743,0
557,1
1365,0
1835,0
836,2
397,2
1756,0
491,2
1773,0
1521,0
1750,0
1167,1
1124,2
1989,0
800,2
1831,0
1985,0
1833,0
1123,1
1939,2
179,2
1417,0
247,0
177,2
1686,2
941,2
881,1
131,0
1886,0
2017,0
1672,0
206,0
910,1
772,2
503,2
109,0
63,0
908,1
879,1
134,0
1702,0
1407,0
1653,0
2025,0
181,1
920,1
329,1
341,2
1466,0
1245,0
1664,0
459,2
59,0
1606,2
917,1
924,2
1482,2
1474,0
256,2
1822,0
444,2
1718,0
487,1
1021,2
654,1
185,0
5399,0
1819,0
1794,0
1332,2
736,2
943,1
1527,0
1415,0
460,2
1352,0
2034,0
543,2
1559,0
83,0
973,1
1916,0
154,0
1188,1
1113,1
494,1
1392,0
1237,1
709,2
1589,0
224,2
1104,1
263,0
1691,0
1717,0
1509,0
735,1
1395,0
1643,0
1507,0
1933,1
1518,0
104,0
1274,2
225,2
1707,0
523,1
1197,1
1007,1
2039,0
1629,0
467,2
504,2
205,0
1275,2
1159,1
574,1
97,2
1334,0
508,2
