Node,Cluster
1107,2
677,0
1438,0
1486,0
1623,0
1564,0
1626,0
1497,0
1994,1
1566,1
1877,1
1909,0
102,1
1837,1
1961,0
2038,1
409,0
1880,1
1239,2
1314,1
293,1
1082,2
2044,1
1150,2
743,2
1595,0
2008,1
1472,1
1998,1
638,2
522,2
1254,1
1873,0
1170,2
690,2
486,0
2031,1
1594,0
156,1
777,0
665,0
1310,1
619,0
378,0
1815,0
100,0
1450,1
1370,1
528,0
255,1
1711,1
1454,0
1259,1
1871,1
1846,1
2000,1
1132,2
1745,1
1945,0
1952,2
2045,1
2032,1
1735,1
1437,1
466,2
1142,2
1389,1
742,0
1148,2
110,1
1384,0
936,2
1582,1
1515,0
570,2
138,0
1865,1
437,0
1853,1
2033,1
1465,1
1869,1
815,2
1630,0
1820,1
1599,1
1440,1
2018,1
1801,0
1836,1
1844,1
8,1
651,0
851,2
753,2
2028,1
1965,2
1895,1
731,2
1531,1
1224,2
2030,1
2004,1
2009,1
635,0
410,1
1712,1
1369,0
1935,2
652,2
1398,1
1423,1
714,0
1854,1
1872,1
694,2
710,0
979,2
322,2
1348,1
959,2
1262,1
1825,1
53,1
1891,1
1435,1
744,2
1749,1
678,2
1418,0
1316,1
121,0
2010,1
1780,1
61,1
756,2
333,0
1439,1
1823,1
706,0
11,1
236,1
405,2
1424,1
365,0
304,1
454,0
1131,2
2011,1
87,1
1403,0
1876,1
1284,0
1011,2
967,2
1354,1
77,1
923,2
882,2
92,1
1308,1
609,2
976,2
418,0
880,2
1636,1
1920,0
1458,1
1252,1
893,2
1493,1
794,0
1625,1
1925,2
579,2
1491,1
461,0
326,0
553,2
10,1
1736,0
776,2
1642,1
1273,1
1221,0
282,0
191,2
1548,1
1269,1
1289,1
837,2
1459,0
65,1
1731,1
605,0
261,1
1499,1
539,0
1950,2
359,1
1234,2
305,1
737,2
383,0
1258,1
581,2
302,0
1817,1
1078,2
786,2
1719,1
555,0
1449,1
1129,2
1121,2
928,2
1349,0
1329,1
1177,2
1960,2
656,0
655,0
1479,1
292,1
1401,1
535,2
842,2
1306,1
1160,2
623,0
1357,0
704,2
1038,2
1436,0
641,0
1406,1
1772,1
1956,2
1663,1
336,1
501,2
747,2
617,0
1514,1
671,0
208,2
1765,1
1181,2
187,0
1615,1
136,1
1487,1
868,2
406,2
435,0
1788,1
925,2
1094,2
1141,2
1236,2
972,2
1412,1
211,2
682,0
1990,1
1845,1
1261,1
78,1
295,0
660,2
1495,1
1812,1
1818,1
1632,1
1926,2
578,0
1260,1
433,1
1878,1
310,0
548,0
666,2
1300,1
308,2
1627,1
857,2
436,1
377,0
1464,1
334,0
47,1
1467,1
285,0
1948,0
445,0
1957,2
93,0
1367,1
2037,1
1834,1
1814,1
1339,1
1165,2
1058,2
477,2
1140,0
1979,1
1902,0
128,1
371,1
1408,0
1426,1
843,0
631,2
275,0
1211,2
2013,1
1046,2
68,1
381,1
1263,1
1109,2
911,2
252,1
1695,1
1151,2
1003,0
1560,1
490,0
1402,1
819,2
1770,1
1617,1
1634,1
1739,0
1394,1
367,1
901,2
1605,1
169,1
1829,1
1087,0
1489,1
829,2
625,0
1337,1
1973,0
719,0
500,2
1572,1
1413,1
708,2
1547,1
662,2
746,2
951,2
811,2
12,1
1200,0
1764,1
1125,2
1927,2
1077,2
1279,0
1277,1
1351,0
1430,1
278,2
1164,0
62,1
122,1
1291,1
258,1
1342,1
1692,1
2021,1
2020,1
219,1
38,1
1969,2
767,2
1307,1
299,1
1143,2
1455,0
1887,1
732,2
1924,0
759,2
178,0
129,1
1005,2
1755,1
645,2
1374,1
982,0
184,0
1029,2
1842,1
1828,1
1618,1
196,0
1222,0
327,1
376,0
1751,1
640,2
216,1
1473,1
802,2
1069,2
1740,1
595,2
1708,1
613,2
785,2
1194,2
155,2
1699,1
670,2
36,1
1443,1
1100,2
1068,0
1525,1
845,0
1496,1
1364,1
669,0
188,0
915,2
1072,2
425,0
622,2
457,0
634,0
1425,1
627,0
150,1
431,2
70,1
35,0
1800,1
606,2
1980,1
588,2
1537,0
1393,1
1483,0
1,1
1641,1
760,2
1355,1
644,2
1862,1
683,0
1910,2
204,0
430,0
267,1
1311,1
1122,2
512,0
833,0
681,2
1385,1
117,0
1371,1
1516,0
698,0
434,0
449,0
1587,1
585,2
1580,1
1533,1
51,1
515,2
858,2
385,1
667,0
1803,1
498,2
1917,1
142,1
949,2
1388,1
1593,0
1485,0
1356,1
1885,1
1771,1
1295,1
1898,1
243,0
99,0
1243,1
1383,1
344,0
321,0
1225,2
54,1
245,0
1171,2
1235,0
213,1
472,2
1727,1
1864,1
1962,0
1863,1
1964,2
1860,1
1650,1
514,2
366,0
1220,2
1508,1
597,2
940,2
793,2
1461,1
483,2
137,1
1353,0
1184,2
1193,2
1312,1
140,1
1944,0
1802,1
1330,1
234,2
56,1
1710,1
1375,1
1360,1
75,1
1674,1
419,0
847,2
1698,1
1700,1
840,2
810,2
877,2
1429,1
1758,1
713,2
251,1
1624,1
1601,1
411,0
88,0
1480,1
44,0
194,0
335,0
1191,2
1214,2
696,2
1006,2
112,0
1934,0
1304,1
1478,1
96,1
1721,1
1153,0
180,2
201,1
388,0
1055,2
1638,1
1199,0
485,2
648,0
896,0
1936,0
1103,0
1970,0
463,0
233,0
2014,1
1611,1
712,2
1940,2
1386,1
499,2
1677,1
1004,2
1716,1
230,0
740,2
1063,2
1428,1
1204,2
28,0
1616,1
441,0
1975,1
1743,1
557,2
1365,1
1835,1
836,0
397,0
1756,1
491,0
1773,1
1521,1
1750,1
1167,2
1124,0
1989,1
800,0
1831,1
1985,1
1833,1
1123,2
1939,0
179,0
1417,1
247,1
177,0
1686,0
941,0
881,2
131,1
1886,1
2017,0
1672,1
206,1
910,2
772,0
503,0
109,1
63,0
908,2
879,2
134,1
1702,1
1407,1
1653,0
2025,1
181,1
920,2
329,1
341,0
1466,1
1245,1
1664,1
459,0
59,1
1606,0
917,2
924,0
1482,0
1474,0
256,0
1822,1
444,0
1718,1
487,2
1021,0
654,2
185,1
5399,1
1819,1
1794,0
1332,0
736,0
943,2
1527,1
1415,1
460,0
1352,1
2034,1
543,0
1559,1
83,1
973,2
1916,1
154,1
1188,2
1113,2
494,2
1392,1
1237,2
709,0
1589,1
224,0
1104,2
263,1
1691,1
1717,1
1509,1
735,2
1395,1
1643,1
1507,1
1933,2
1518,1
104,1
1274,0
225,0
1707,1
523,2
1197,2
1007,2
2039,1
1629,1
467,0
504,0
205,1
1275,0
1159,2
574,2
97,0
1334,1
508,0
1073,2
1411,1
495,2
291,1
590,0
1753,1
464,0
1336,1
227,0
1488,1
1504,1
1399,1
5,1
1586,1
1293,1
1340,0
484,0
600,0
628,0
42,1
814,0
1115,0
424,0
1963,2
1662,1
1414,1
1575,1
1322,1
818,0
25,1
496,2
1302,1
674,2
1520,1
1421,1
1410,1
158,1
593,0
1456,1
1635,1
1639,1
209,1
1463,1
954,2
1335,1
1420,1
903,2
375,0
1517,0
1404,0
217,1
755,2
349,0
1541,1
212,1
1179,2
1720,1
1723,1
1315,1
869,0
395,0
160,1
1345,1
1579,1
551,0
1607,1
1470,1
309,1
513,2
475,0
1900,2
244,0
944,0
1633,1
629,0
148,0
1923,0
1571,1
1144,2
345,0
1018,2
1086,2
426,0
509,2
701,0
1195,2
2003,1
1139,2
241,1
1696,1
1608,1
1013,0
167,2
290,0
521,0
382,0
1247,1
373,1
934,2
1169,0
1158,2
52,0
1954,0
103,1
200,1
106,1
1621,1
1290,1
679,0
806,2
603,2
1578,1
1500,1
1445,1
1726,1
17,1
1442,1
598,0
1889,0
1053,2
1350,1
1344,1
1346,1
931,2
401,0
1492,1
399,1
3,1
950,2
1912,0
58,1
568,0
552,0
1596,1
1008,2
152,1
1363,1
1309,1
1232,2
237,0
392,0
978,2
1511,1
379,0
1213,2
1462,0
716,0
883,2
300,0
1397,1
1320,1
1588,1
1296,1
446,0
2043,1
254,1
218,1
1763,1
561,2
1281,0
2042,1
287,2
1911,0
1319,0
1510,1
895,2
1544,0
932,2
111,0
711,0
162,1
1303,1
519,0
1048,2
417,0
1986,1
221,1
1064,0
248,1
1323,1
725,2
423,0
2024,1
965,2
82,0
824,0
1321,1
1577,1
175,1
164,1
647,2
939,2
356,0
296,2
149,1
1271,1
1257,1
1915,2
1928,2
249,0
1112,2
105,1
702,2
538,2
1196,2
273,1
906,0
270,2
1748,1
107,1
215,1
286,1
1209,2
558,2
1390,1
554,2
492,0
1859,1
927,2
1433,1
871,2
1905,0
873,0
257,1
363,2
1907,1
1892,1
1847,1
1343,1
1157,2
751,2
1687,1
1154,2
1694,1
1535,1
724,2
408,0
159,1
1249,1
462,0
718,2
1173,2
992,2
429,0
1558,1
1583,1
1832,1
602,2
387,0
781,2
1523,0
1786,1
862,2
240,1
1172,0
707,2
912,2
1804,1
1734,1
534,0
530,0
101,1
1471,1
1543,1
1513,1
608,0
1475,1
1565,1
1921,0
1538,1
1116,0
37,0
1741,1
1744,1
81,1
1501,1
792,2
577,0
1532,1
1333,1
1227,2
95,1
1747,0
1754,0
450,0
1490,0
1972,2
348,0
422,2
2047,0
1746,1
250,2
391,0
1996,1
197,1
210,1
1701,1
1715,1
1598,1
1590,1
1913,1
559,2
657,2
1703,1
1223,2
1637,1
855,2
1706,1
1022,2
517,2
1775,1
1918,0
1545,1
1875,0
1861,1
820,2
1931,0
721,2
2023,1
144,1
685,0
1897,2
1217,0
1280,1
571,0
1705,1
339,1
1830,1
1255,1
1671,1
546,0
319,0
516,0
1760,1
1592,0
1244,1
26,1
1857,1
297,1
320,0
1387,1
456,0
404,2
173,0
1709,1
1888,0
563,2
1452,1
427,0
229,2
1347,1
1848,1
1838,1
892,0
76,1
1841,1
676,2
1809,1
5402,1
1266,1
686,2
1341,1
1359,1
1185,0
1551,0
474,1
